ID,name,street,street_number,city,state
1,UPC,"Collingwood  Pass, 27",281,Baltimore,Brunei
2,Areon Impex,"Bendmore  Vale, 210",258,Wien,Bosnia and Herzegovina
3,Mars,"Queen Caroline   Pass, 97",142,Miami,Jordan
4,Demaco,"Coleman  Route, 180",236,Oklahoma City,Vanuatu
5,ExxonMobil,"Oxford Rue, 294",155,Garland,Mauritania
6,It Smart Group,"Unwin  Crossroad, 99",492,Dallas,Somalia
7,ENEL,"Parkgate  Lane, 54",382,Venice,Honduras
8,Zepter,"Byland  Hill, 241",23,Long Beach,Romania
9,Comodo,"Ely  Grove, 238",407,Detroit,Croatia
10,Areon Impex,"Wadham  Road, 77",95,Garland,Malaysia
11,CarMax,"Church Avenue, 62",396,San Diego,Liechtenstein
12,Global Print,"Arbutus   Walk, 234",94,El Paso,Austria
13,Mars,"Walnut Grove, 28",106,New York,Pakistan
14,Amazon.com,"King Rue, 120",293,Berlin,Turkey
15,UPC,"Belgrave  Crossroad, 129",99,London,Malaysia
16,Amazon.com,"Westbourne Tunnel, 39",361,Boston,Kuwait
17,Mars,"Gautrey  Way, 51",156,Rome,Thailand
18,UPC,"Babmaes    Crossroad, 167",286,Lincoln,Kyrgyzstan
19,CarMax,"Tisbury  Drive, 214",377,Minneapolis,United Kingdom
20,Comodo,"Walnut Road, 291",102,Cincinnati,Albania
21,Leadertech Consulting,"Aspen Road, 16",405,San Bernardino,"Sudan, South"
22,Biolife Grup,"Canning  Street, 127",371,Minneapolis,Slovenia
23,Zepter,"Fawn Grove, 235",420,Berlin,Dominica
24,Facebook,"Littlebury  Boulevard, 116",354,Berna,Eritrea
25,ExxonMobil,"Clavell   Crossroad, 288",294,Fayetteville,Laos
26,Areon Impex,"Bethwin  Walk, 127",268,Anaheim,Bolivia
27,BuzzFeed,"Udall   Grove, 55",467,Amarillo,Marshall Islands
28,21st Century Fox,"Charterhouse  Avenue, 173",49,Quebec,South Africa
29,Boeing,"Apostle  Rue, 126",366,St. Louis,Ireland
30,BuzzFeed,"Yorkshire  Route, 158",90,Tallahassee,Laos
31,Boeing,"Shepherds  Hill, 162",375,Chicago,Chad
32,Telekom,"Chelsea Manor  Vale, 234",53,Berlin,Dominican Republic
33,Team Guard SRL,"Hickory Lane Drive, 258",172,Henderson,Cambodia
34,CarMax,"Parkfields Street, 76",475,Stockton,Libya
35,CarMax,"Birkenhead   Avenue, 287",64,Rome,Russia
36,Global Print,"Bel   Vale, 238",113,Minneapolis,Congo
37,Amazon.com,"Betton  Alley, 291",289,Amarillo,Zambia
38,UPC,"Birkin   Route, 55",280,Albuquerque,Côte d’Ivoire
39,DynCorp,"Adams  Road, 159",483,New Orleans,Seychelles
40,Metro Cash&Carry,"Carnegie   Hill, 221",430,San Diego,East Timor (Timor-Leste)
41,Carrefour,"Belfort  Pass, 199",329,Atlanta,Senegal
42,Erickson,"Andrews  Vale, 212",362,Fullerton,Croatia
43,ExxonMobil,"Jackson Tunnel, 151",163,Colorado Springs,The Gambia
44,ENEL,"Fairbairn  Boulevard, 198",495,Henderson,Comoros
45,Metro Cash&Carry,"Fawn Walk, 28",272,Seattle,Japan
46,Zepter,"Linden Vale, 37",465,New York,Mauritius
47,Areon Impex,"Chandos  Hill, 240",451,Lakewood,Côte d’Ivoire
48,Facebook,"Chestnut  Alley, 193",485,Los Angeles,Tunisia
49,DynCorp,"Beaconsfield  Walk, 146",278,Garland,Malaysia
50,Telekom,"Jackson Hill, 77",423,Jersey City,Malaysia
51,Mars,"Bede  Road, 121",399,Norfolk,Niger
52,Vodafone,"Erindale Vale, 1",204,Tulsa,Somalia
53,UPC,"Bedford  Lane, 143",285,Hollywood,Norway
54,Metro Cash&Carry,"West Road, 90",13,Escondido,Marshall Islands
55,Amazon.com,"Blenkarne  Crossroad, 124",197,Orlando,Spain
56,Zepter,"Longman   Hill, 240",335,Wien,Lebanon
57,ExxonMobil,"Cam  Vale, 85",231,Valetta,Malawi
58,Comcast,"Bendmore  Route, 250",33,Bucharest,Lebanon
59,DynCorp,"Westbourne Grove, 161",165,Portland,Dominican Republic
60,Mars,"Bocking   Lane, 179",444,Madison,Nauru
61,Amazon.com,"Chancellor  Street, 188",263,Escondido,Grenada
62,Metro Cash&Carry,"Sundown Hill, 82",285,Otawa,Uzbekistan
63,BuzzFeed,"Carpenter Route, 285",75,New York,Papua New Guinea
64,Comodo,"Elf  Tunnel, 66",386,Scottsdale,Congo
65,Carrefour,"Blean   Crossroad, 26",444,Lincoln,Kosovo
66,Zepter,"Westbourne Walk, 123",178,San Francisco,Luxembourg
67,Boeing,"Camden  Avenue, 156",131,Louisville,Romania
68,Carrefour,"Collingwood  Avenue, 210",153,Irving,Portugal
69,Danone,"Apollo  Hill, 136",484,Rome,Liechtenstein
70,UPC,"Paris   Tunnel, 281",483,Omaha,Turkmenistan
71,CarMax,"Buttonwood Way, 291",281,Tulsa,Cyprus
72,Amazon.com,"Archery  Walk, 233",181,Bakersfield,Iceland
73,Areon Impex,"Lonsdale  Rue, 286",56,Denver,Sri Lanka
74,ExxonMobil,"Apothecary   Avenue, 54",478,Norfolk,Mauritius
75,Comodo,"Apostle  Rue, 125",241,Huntsville,Brunei
76,Apple Inc.,"Ensign   Street, 123",19,Rome,Saudi Arabia
77,Telekom,"Egerton  Road, 293",142,Colorado Springs,Australia
78,Amazon.com,"Calshot   Rue, 124",42,Atlanta,Kuwait
79,Facebook,"English   Hill, 63",288,Richmond,Albania
80,Biolife Grup,"Cecilia  Route, 113",237,Berlin,Argentina
81,Boeing,"Abbots   Avenue, 35",423,Springfield,Chile
82,Amazon.com,"St. Johs  Road, 179",224,Garland,Cuba
83,Coca-Cola Company,"Chandos  Way, 89",191,Tallahassee,Philippines
84,Leadertech Consulting,"Blendon    Walk, 200",438,Reno,Slovakia
85,Danone,"Carpenter Pass, 4",202,San Antonio,Uzbekistan
86,Zepter,"Cleaver Street, 219",316,Henderson,Honduras
87,Facebook,"Carol   Lane, 152",54,Milano,Qatar
88,CarMax,"Railroad Street, 151",483,Rochester,Ecuador
89,Biolife Grup,"Blackwall  Hill, 211",415,San Antonio,Montenegro
90,AECOM,"Dunstable   Walk, 34",126,Quebec,Argentina
91,Metro Cash&Carry,"Ensign   Pass, 88",419,Philadelphia,Norway
92,Boeing,"Arthur  Rue, 97",260,Lancaster,China
93,Mars,"Rivervalley Vale, 247",196,Otawa,Panama
94,Team Guard SRL,"Canning  Drive, 124",55,Valetta,Tajikistan
95,Team Guard SRL,"Blanchard  Avenue, 279",247,Salem,Bulgaria
96,UPC,"Castle Walk, 188",33,Ontario,Tanzania
97,Vodafone,"Belfort  Street, 66",135,Dallas,Swaziland
98,Telekom,"Babmaes    Rue, 16",195,Fullerton,Greece
99,Carrefour,"Bingham   Avenue, 52",432,Huntsville,Serbia
100,Erickson,"Cloth  Avenue, 74",138,Salt Lake City,Togo
101,Leadertech Consulting,"Cingworth  Alley, 223",229,Detroit,Fiji
102,Facebook,"Chicksand  Drive, 173",354,Lancaster,El Salvador
103,Comcast,"Becher  Drive, 18",142,Moreno Valley,Micronesia
104,ExxonMobil,"Arctic   Alley, 216",141,Glendale,The Bahamas
105,ENEL,"Underwood  Way, 118",157,St. Louis,Macedonia
106,Carrefour,"Church Hill, 117",384,Phoenix,Burkina Faso
107,Boeing,"Ben   Grove, 200",153,Zurich,Togo
108,Mars,"Birkenhead   Alley, 142",264,Santa Ana,Lithuania
109,Metro Cash&Carry,"Belmore  Tunnel, 116",242,Miami,Somalia
110,ExxonMobil,"Bush  Alley, 154",178,Garland,Turkey
111,Comcast,"Underwood  Walk, 277",26,Atlanta,Lebanon
112,ENEL,"Chambers  Tunnel, 76",378,Albuquerque,Namibia
