ID,name,quantity,dateFrom,dateTo,scrapped,isMaterial,note,Branch
1,hV3ST6921uRyxsy,283,"Sunday, August 1, 2004","Sunday, July 1, 2007",TRUE,TRUE,,3088
2,pFaetxT2rWlP6tJ,131,"Monday, July 28, 2003","Friday, November 5, 2010",TRUE,TRUE,,4841
3,ufvO7qwlLo1jYI6,290,"Wednesday, October 19, 2005","Monday, August 10, 2015",TRUE,TRUE,,4929
4,cUzZytfQl9Shnuq,247,"Sunday, December 21, 2003","Thursday, August 3, 2017",TRUE,TRUE,,7710
5,WzO6M78dLeV6MW4,107,"Tuesday, January 8, 2002","Sunday, April 22, 2012",FALSE,FALSE,,1723
6,EAc9LR6Dgb3QTZB,98,"Wednesday, July 12, 2000","Tuesday, September 12, 2017",TRUE,TRUE,,9377
7,iXOJdEejiH6ge9N,123,"Friday, July 22, 2005","Tuesday, April 22, 2008",TRUE,TRUE,,2829
8,WzFVfnmSDn3r4CX,121,"Wednesday, April 28, 2004","Sunday, November 13, 2016",TRUE,TRUE,,5893
9,8vdI0jAGzGOZOCe,99,"Friday, July 20, 2001","Friday, August 21, 2015",TRUE,TRUE,,9601
10,YOGCfxWCah2IJNE,268,"Wednesday, October 1, 2003","Thursday, February 7, 2019",FALSE,FALSE,,6982
11,jIGtN8H5gbU3DUS,262,"Wednesday, June 12, 2002","Sunday, June 28, 2009",FALSE,FALSE,,3146
12,G5qZm6gTS5oQSMi,224,"Monday, June 18, 2001","Monday, February 11, 2019",TRUE,TRUE,,8334
13,moMKif6yTGDaf3e,238,"Thursday, September 4, 2003","Tuesday, July 29, 2014",TRUE,TRUE,,1996
14,8baiajKDJASUJua,214,"Thursday, November 21, 2002","Wednesday, December 15, 2010",FALSE,FALSE,,9528
15,ZvV9nhCPRjDgP2h,266,"Thursday, June 20, 2002","Saturday, September 22, 2012",TRUE,TRUE,,3367
16,KFfciQsIlBxzDfd,75,"Thursday, September 14, 2000","Sunday, June 28, 2009",FALSE,FALSE,,3614
17,5W0Fe8uXDdbgwtT,100,"Wednesday, July 3, 2002","Tuesday, November 27, 2007",TRUE,TRUE,,2535
18,Xj0ku7961m42DHC,15,"Tuesday, November 12, 2002","Sunday, November 1, 2015",FALSE,FALSE,,5613
19,xiOzhlgaHGZ4wTg,134,"Tuesday, August 26, 2003","Friday, August 17, 2012",FALSE,FALSE,,9930
20,lTxXOEa9h6YvHTA,115,"Wednesday, November 13, 2002","Sunday, November 30, 2008",FALSE,FALSE,,3342
21,IYCckdCZJ5StD3C,295,"Saturday, September 3, 2005","Tuesday, June 2, 2015",TRUE,TRUE,,1297
22,AZfMh6lRwFpYg7d,105,"Thursday, April 25, 2002","Monday, January 5, 2015",FALSE,FALSE,,3988
