ID,name,quantity,date_from,date_to,scrapped,is_material,note,Branch
1,hV3ST6921uRyxsy,283,22/06/2003,13/11/2010,TRUE,TRUE,,303184
2,pFaetxT2rWlP6tJ,131,06/08/2002,13/08/2010,TRUE,TRUE,,635060
3,ufvO7qwlLo1jYI6,290,09/02/2000,25/11/2010,TRUE,TRUE,,998369
4,cUzZytfQl9Shnuq,247,19/01/2001,08/06/2014,TRUE,TRUE,,950236
5,WzO6M78dLeV6MW4,107,29/04/2001,11/05/2013,FALSE,FALSE,,618056
6,EAc9LR6Dgb3QTZB,98,19/06/2002,17/01/2011,TRUE,TRUE,,160128
7,iXOJdEejiH6ge9N,123,26/06/2002,25/02/2015,TRUE,TRUE,,324942
8,WzFVfnmSDn3r4CX,121,01/10/2003,21/05/2016,TRUE,TRUE,,595181
9,8vdI0jAGzGOZOCe,99,23/08/2002,11/07/2017,TRUE,TRUE,,637843
10,YOGCfxWCah2IJNE,268,16/05/2003,23/01/2006,FALSE,FALSE,,930824
11,jIGtN8H5gbU3DUS,262,01/08/2001,05/06/2017,FALSE,FALSE,,820612
12,G5qZm6gTS5oQSMi,224,24/11/2001,30/03/2009,TRUE,TRUE,,10654
13,moMKif6yTGDaf3e,238,27/09/2003,05/11/2006,TRUE,TRUE,,428198
14,8baiajKDJASUJua,214,19/11/2002,26/03/2010,FALSE,FALSE,,447274
15,ZvV9nhCPRjDgP2h,266,21/08/2002,22/11/2008,TRUE,TRUE,,644290
16,KFfciQsIlBxzDfd,75,02/01/2002,03/10/2009,FALSE,FALSE,,923936
17,5W0Fe8uXDdbgwtT,100,29/04/2000,10/09/2009,TRUE,TRUE,,825891
18,Xj0ku7961m42DHC,15,28/05/2000,27/10/2014,FALSE,FALSE,,229706
19,xiOzhlgaHGZ4wTg,134,24/11/2001,26/11/2005,FALSE,FALSE,,324520
20,lTxXOEa9h6YvHTA,115,15/03/2001,17/04/2007,FALSE,FALSE,,180357
21,IYCckdCZJ5StD3C,295,08/04/2001,04/11/2004,TRUE,TRUE,,991072
22,AZfMh6lRwFpYg7d,105,06/08/2003,30/05/2011,FALSE,FALSE,,453617
23,OaUY4qx7bkDhMm8,207,11/09/2002,29/12/2008,TRUE,TRUE,,972139
24,UeMWWlWhiTgR32Z,265,24/02/2003,07/08/2005,FALSE,FALSE,,405814
25,MHPlDzIamjLkkF8,207,30/01/2001,11/04/2015,FALSE,FALSE,,925436
26,JU4e8KIxVJeH5fd,116,21/09/2001,10/01/2013,FALSE,FALSE,,711920
27,xfC7mot1H3fN6oY,13,23/11/2001,07/03/2010,FALSE,FALSE,,910924
28,jRFIKSVgvKpF0tf,225,31/03/2000,03/02/2014,TRUE,TRUE,,139549
29,gmD4JsXN3CXot6l,49,21/09/2003,08/04/2011,TRUE,TRUE,,103553
30,TQg04poK6opSmlc,87,27/05/2001,24/01/2006,TRUE,TRUE,,536082
31,crJKPkHmK0c0W9X,219,17/02/2001,15/08/2006,FALSE,FALSE,,848179
32,E8ySnwXhCb8eArD,165,01/03/2000,26/01/2016,TRUE,TRUE,,919728
33,mukD6WHItLmSUhE,24,24/02/2002,30/10/2006,TRUE,TRUE,,684281
34,Mn0BAiAf4ABxdFE,256,13/10/2003,06/06/2006,TRUE,TRUE,,459468
35,ILb4JJqWpusRGsm,185,05/03/2001,26/05/2011,TRUE,TRUE,,884384
36,3LiwI0tKG1Xilu0,103,24/01/2001,10/02/2008,FALSE,FALSE,,148987
37,c5YmnS68VQ7Hjg3,297,18/07/2000,29/07/2017,FALSE,FALSE,,509461
38,0A2G8ono7q5Uhdi,132,29/10/2003,31/03/2012,FALSE,FALSE,,112848
39,cOrpwQQs4xSD2Xl,100,18/01/2000,04/10/2007,TRUE,TRUE,,556536
40,d6Kwe8rZtfa59Ka,199,21/07/2002,18/11/2010,TRUE,TRUE,,329402
41,tOces3rZ1TTF6Zy,178,13/11/2003,16/01/2012,FALSE,FALSE,,525493
42,C60BavEROvuO5Bl,216,17/11/2001,31/08/2006,TRUE,TRUE,,150874
43,ti9sJOwDMp70Xbh,72,09/06/2001,16/09/2015,TRUE,TRUE,,486977
44,2XjStWt9VrMEiEg,289,20/03/2002,12/06/2012,TRUE,TRUE,,103638
45,v7ixTAbtPR1MucS,66,18/07/2002,26/04/2009,TRUE,TRUE,,570743
46,K9vlktrPa7ZLLBq,230,30/03/2000,30/08/2009,TRUE,TRUE,,93929
47,AG59sfTZrJApHph,51,15/06/2003,25/09/2016,FALSE,FALSE,,235021
48,y60eUttsKknvQsc,29,28/12/2002,02/04/2016,FALSE,FALSE,,192700
49,yGvJYUG2a3jd5WZ,79,26/05/2003,19/11/2012,TRUE,TRUE,,143127
50,QLHWdlSjAgn8ivQ,161,07/06/2001,07/07/2016,FALSE,FALSE,,938847
51,IPjXFHdsWII8f6R,82,06/03/2000,18/09/2010,TRUE,TRUE,,290818
52,f0wKKaDo6VVtM4Z,48,12/04/2003,27/04/2011,TRUE,TRUE,,904455
53,s4SrItEuAkQriLr,25,16/08/2003,10/09/2005,FALSE,FALSE,,176905
54,ANhqxG7Pibgv6xm,82,08/05/2000,27/03/2009,FALSE,FALSE,,424152
55,NzSlEB32FIfhDNd,92,07/01/2000,07/08/2014,TRUE,TRUE,,289654
56,ifqRIRNkojRpnda,188,11/07/2000,08/04/2016,TRUE,TRUE,,478857
57,AsQvs0DT6gfNk70,91,16/07/2003,19/06/2016,FALSE,FALSE,,627566
58,agG15nhzbIj6z5t,67,19/04/2001,05/01/2016,FALSE,FALSE,,515478
59,xfUpMLM7NST7bB2,289,15/06/2000,15/10/2013,FALSE,FALSE,,464591
60,SIjYIHmRDHIMKP6,111,15/03/2000,21/01/2008,TRUE,TRUE,,155080
61,CIFhcpAar3CniFK,206,11/10/2003,16/10/2012,FALSE,FALSE,,560788
62,Wf2erZdebG8htlc,38,20/02/2003,10/05/2008,TRUE,TRUE,,808620
63,jfuUMyONnFKI69e,169,14/06/2002,21/12/2015,FALSE,FALSE,,776389
64,8uj7K59auI4tKOR,226,11/10/2003,15/04/2014,TRUE,TRUE,,659135
65,kShPknsTrNDpPcJ,53,19/12/2003,22/12/2014,TRUE,TRUE,,774355
66,yzQJnJRrmkncLJe,56,22/05/2002,07/01/2014,TRUE,TRUE,,524069
67,RnmRflZzywxcJED,233,23/01/2000,14/11/2004,TRUE,TRUE,,587419
68,af1dVtL4DWgpaH8,64,22/11/2002,14/10/2007,TRUE,TRUE,,18781
69,IbvzYulP3FGiVcC,182,14/11/2003,18/08/2005,TRUE,TRUE,,227165
70,FKoqpJH3BNRaEol,275,04/03/2000,18/06/2012,FALSE,FALSE,,888784
71,LKqZUk61fSk6jO5,294,13/05/2000,19/11/2016,FALSE,FALSE,,634063
72,rAcBpyQTld9aeqm,104,06/08/2003,19/01/2009,TRUE,TRUE,,827946
73,A7ok3rskwnkd00e,98,31/03/2003,07/07/2006,FALSE,FALSE,,692966
74,n4FFo0sVIo0ltrw,79,11/11/2002,05/01/2011,TRUE,TRUE,,132945
75,V2iKVzUBLQxnfIx,261,22/11/2000,07/12/2011,TRUE,TRUE,,925023
76,sdjkh5LNYT8KKwz,155,06/12/2001,02/12/2017,FALSE,FALSE,,219991
77,t9gO8blkenVuanV,185,14/02/2000,18/08/2009,FALSE,FALSE,,432375
78,IVz9DX5Tay5o9Z2,109,10/06/2001,13/10/2009,TRUE,TRUE,,859374
79,MNtbcvEKGzFwkbP,130,11/06/2001,11/10/2009,TRUE,TRUE,,739983
80,HRv2W9bsn0JL27C,258,03/12/2000,15/10/2006,FALSE,FALSE,,663140
81,UIFqYvfx9UeSSuz,193,27/02/2003,05/01/2013,FALSE,FALSE,,316797
82,eiHJ2HD1zB1VBPF,193,09/01/2001,12/09/2013,TRUE,TRUE,,145748
83,fCnyxwFSI4MYoGN,129,28/04/2000,29/03/2017,FALSE,FALSE,,937791
84,1pZP8SbW9WFaDCP,229,18/11/2000,20/10/2009,TRUE,TRUE,,278331
85,IsYw1dVHW6GqCJl,226,14/03/2002,26/05/2015,FALSE,FALSE,,790844
86,OIWlMH39I0kCjI3,222,16/03/2002,10/11/2004,TRUE,TRUE,,379505
87,MFCRHuR4jmU8fKy,67,27/11/2000,31/08/2008,FALSE,FALSE,,688163
88,rrUVHNZmdAB0sAG,89,23/09/2001,07/09/2014,TRUE,TRUE,,217931
89,YGatatjL3aD7ibZ,275,20/11/2001,27/05/2008,TRUE,TRUE,,815410
90,jcARm4KDbsG93CQ,137,13/05/2003,16/02/2015,FALSE,FALSE,,382463
91,YuWehaNMA1Rj4Qg,262,24/09/2001,26/08/2004,TRUE,TRUE,,242565
92,sJSKX944nOJyi3S,268,14/02/2000,13/05/2004,FALSE,FALSE,,286906
93,abzws6tcJzQ4Cn1,114,15/06/2003,05/12/2008,TRUE,TRUE,,201544
94,Jjz5b7mOA6iEI4R,126,15/12/2001,27/08/2008,TRUE,TRUE,,53213
95,OdfrGENYWjW4gs2,197,10/03/2001,14/09/2005,FALSE,FALSE,,554153
96,r7KZaZUfUMdHg31,100,28/08/2003,11/10/2007,FALSE,FALSE,,881770
97,TrjAStHuvZHC85K,11,22/01/2002,11/07/2006,TRUE,TRUE,,759670
98,mtAzb1Q8DGrufCd,104,11/08/2002,22/10/2005,TRUE,TRUE,,814997
99,GnKwyLivBq9H4Ui,256,10/07/2001,09/04/2006,TRUE,TRUE,,281171
100,KXpEq4306UNGMO5,45,26/05/2000,14/05/2014,FALSE,FALSE,,483903
101,OwBrlMdHtnx2rVv,32,13/12/2002,24/09/2012,TRUE,TRUE,,735399
102,Saxjzs6uLcI1IUH,222,10/11/2002,14/08/2016,TRUE,TRUE,,785686
103,7dbkJWEIYSwpi34,255,07/11/2001,07/03/2016,TRUE,TRUE,,932391
104,uYGuDBRMM1PfKCG,18,06/11/2002,05/03/2017,FALSE,FALSE,,187297
105,HvQ8Iyzj9Y88XUR,150,14/04/2003,08/01/2015,FALSE,FALSE,,751828
106,gYlggTyad5QBODD,126,15/04/2002,17/10/2016,FALSE,FALSE,,273033
107,kFhA6JQdYmZNCcF,47,23/01/2003,31/12/2014,FALSE,FALSE,,672764
108,Yx0oeK90q5ORZhv,296,12/09/2003,21/08/2007,FALSE,FALSE,,251618
109,ga9uWWwivhVaz4b,127,08/03/2003,25/09/2016,FALSE,FALSE,,118314
110,5Y0VCeGSq7t9GTj,133,28/04/2002,18/02/2005,TRUE,TRUE,,979133
111,ziKrFYDVsb86NsC,76,16/06/2003,27/06/2011,TRUE,TRUE,,920430
112,KdXNcNdzHN55llj,205,19/08/2001,07/03/2007,FALSE,FALSE,,825917
113,bj7TwjhNR44qHPN,148,12/03/2001,13/02/2008,TRUE,TRUE,,163308
114,w1JW4qhaDBnfgUn,117,23/07/2003,21/06/2006,FALSE,FALSE,,976410
115,YXazz4BjRArY0XO,110,17/06/2000,07/11/2016,FALSE,FALSE,,314330
116,mM1tAPtePfSHkNG,185,04/03/2000,21/01/2014,FALSE,FALSE,,728140
117,uc4EHzmiGNsJzQu,292,11/03/2002,05/11/2004,FALSE,FALSE,,838109
118,CUa5tvQacQxzaHp,201,31/10/2003,15/10/2010,FALSE,FALSE,,119022
119,GPFeBFmwGEfLnXc,136,06/10/2002,24/06/2010,TRUE,TRUE,,601762
120,rKztf6V18mfK5aK,56,01/10/2001,17/02/2014,TRUE,TRUE,,634298
121,tt7mymw3OU5wClI,46,01/11/2002,24/02/2013,FALSE,FALSE,,803437
122,GJaAxwCRxwNYOJ9,220,30/10/2003,11/09/2007,TRUE,TRUE,,919905
123,IQWlp5vH1rcV2ah,267,15/01/2000,26/05/2015,TRUE,TRUE,,260863
124,9G1lWGbf9ogpqI1,131,06/07/2002,06/03/2009,FALSE,FALSE,,262485
125,4u39QCvmYpy4fek,8,26/06/2000,17/12/2015,TRUE,TRUE,,347316
126,etCNzk0TQbWhgtl,228,30/07/2001,11/12/2010,FALSE,FALSE,,358664
127,hgdgHGm6evTsZiE,292,13/07/2002,04/01/2006,FALSE,FALSE,,843434
128,Kgo47t0LrSEWxIV,224,12/08/2002,14/10/2011,TRUE,TRUE,,9611
129,5f0nBNWSP7k7BgB,142,02/12/2003,21/12/2013,FALSE,FALSE,,298376
130,2RL2NgwQ0CO9iqE,211,13/01/2002,21/10/2007,TRUE,TRUE,,832634
131,f6dXcHYJJI6LZCa,238,18/09/2000,14/04/2009,TRUE,TRUE,,179864
132,hQ45rTvOErjT2X5,253,30/04/2001,06/08/2016,FALSE,FALSE,,462570
133,FXBJUh6RF40dNbz,52,22/04/2001,07/12/2006,FALSE,FALSE,,431510
134,nicDw3wJ7l6uFtK,192,07/06/2001,30/10/2013,FALSE,FALSE,,366517
135,jSK4eSicMr8dOTA,21,19/05/2003,07/02/2017,TRUE,TRUE,,157699
136,bAVejAluFNllPdT,115,12/08/2003,17/01/2017,FALSE,FALSE,,915420
137,DWH0hrp9rDRM7nq,115,16/11/2002,15/07/2008,FALSE,FALSE,,515494
138,H8l9Cmg3dgne4if,280,29/07/2003,20/08/2012,TRUE,TRUE,,127556
139,bqYCh8kjVasEAoa,230,25/06/2000,07/05/2013,TRUE,TRUE,,626191
140,0fWfUwtQLl6H05h,16,13/11/2003,25/08/2013,TRUE,TRUE,,852117
141,10IR4mGyjrdNEAn,298,09/08/2003,24/12/2007,TRUE,TRUE,,1127
142,8PbxmPlXPc6k8R9,251,23/09/2003,28/12/2009,TRUE,TRUE,,135053
143,Cw1elZSjS5WpA7b,256,10/01/2001,23/06/2014,FALSE,FALSE,,228299
144,UKTeKIr6Ajcu3nC,194,22/04/2002,03/04/2010,TRUE,TRUE,,267797
145,9B9yXMPx0RP8EIw,196,28/01/2001,23/12/2011,FALSE,FALSE,,108832
146,YKKadC0gRKHsImW,64,17/04/2003,03/12/2005,TRUE,TRUE,,40513
147,cR5xHD0dv8CFXXO,119,28/10/2000,07/04/2017,TRUE,TRUE,,415095
148,J3ysXdljcBu4tKG,82,29/05/2002,19/12/2008,FALSE,FALSE,,654768
149,NIk5B134B8JCvYf,129,02/09/2000,10/03/2015,FALSE,FALSE,,405669
150,sOuqoiOqTJUBnaJ,255,22/10/2001,02/07/2009,TRUE,TRUE,,195364
151,mpTn4ffthTnJNXZ,275,31/12/2003,07/12/2006,FALSE,FALSE,,554958
152,eAa3JOQmxC34DYo,248,03/08/2000,23/12/2015,FALSE,FALSE,,677332
153,3Bs6euKG9aeEzYE,113,15/01/2003,15/01/2012,TRUE,TRUE,,764950
154,GvYr6rpn0PMhqSS,220,07/07/2000,29/12/2004,TRUE,TRUE,,92677
155,LV9SCl9IkY8wZDs,246,27/08/2002,17/02/2004,FALSE,FALSE,,30724
156,MOEalnEWjuWpVyo,65,25/05/2001,21/02/2010,FALSE,FALSE,,61591
157,SdiJSVN7gzW5s8v,273,19/06/2000,29/05/2013,TRUE,TRUE,,863315
158,btOtyzOzFSKfMQZ,44,27/04/2003,29/09/2014,FALSE,FALSE,,713918
159,hhr2MMSEf1m8NsA,43,11/10/2000,20/06/2017,TRUE,TRUE,,610535
160,aRMMWulGUQRg63F,261,26/03/2000,12/08/2009,FALSE,FALSE,,756774
161,MEbg9U7ypw5F1JH,2,07/11/2002,12/06/2009,FALSE,FALSE,,497852
162,7gKGD4LNDJqKjU6,101,19/07/2003,04/08/2005,FALSE,FALSE,,163793
163,RmoQgCU1xBxwsm1,223,07/09/2000,28/04/2011,TRUE,TRUE,,573131
164,42mZ7Y81TvSg7hH,106,28/07/2001,06/08/2010,FALSE,FALSE,,433495
165,3vi179EI2lKrb0n,247,25/01/2001,21/07/2009,FALSE,FALSE,,274615
166,ggOXz5OX9DmaAWv,66,26/02/2000,21/12/2016,FALSE,FALSE,,248814
167,nkxqM8epwaczuDq,280,06/11/2002,15/10/2013,FALSE,FALSE,,585378
168,z0V5apljELVbqwE,38,15/01/2001,31/07/2012,TRUE,TRUE,,742740
169,TZHn4thrVXIIuVu,253,09/09/2003,08/01/2009,TRUE,TRUE,,529583
170,nqGv7LzH4HQe6Kc,241,16/12/2003,01/07/2005,TRUE,TRUE,,965150
171,I8I3gptYtRDa5XM,93,31/01/2000,30/01/2006,FALSE,FALSE,,438999
172,vTQx4mx5SzNqOYb,157,06/09/2003,07/06/2017,TRUE,TRUE,,369839
173,7KoqHycsVuWckzp,78,15/09/2001,31/01/2017,TRUE,TRUE,,669268
174,PHnBK6VDL7bIPLA,227,03/06/2002,20/06/2008,FALSE,FALSE,,91423
175,2LYN9Kt2r1qyrLy,4,04/05/2002,24/11/2011,FALSE,FALSE,,149576
176,p4yr4uua2Rv7zLx,213,21/01/2000,06/05/2007,FALSE,FALSE,,34726
177,oFe9Ant0AUP5KwG,279,29/10/2002,27/02/2013,TRUE,TRUE,,930140
178,1qHNRZN8nQpPb1o,7,10/02/2001,09/03/2008,TRUE,TRUE,,912316
179,haywBF1adJ6mns4,11,29/01/2001,29/02/2012,FALSE,FALSE,,671792
180,6tXhtw54yu9ZMmK,241,19/09/2003,16/08/2008,FALSE,FALSE,,564860
181,ziOvsjcjvEVe3uX,5,14/08/2002,06/09/2010,TRUE,TRUE,,20556
182,09PgmcmbB3OqIGK,159,30/05/2001,18/06/2006,TRUE,TRUE,,965482
183,rpJA2Fm3I2kMCIm,222,10/04/2002,03/11/2014,FALSE,FALSE,,190427
184,xTXgT3w4z4xcaIx,180,22/03/2003,16/12/2006,FALSE,FALSE,,254448
185,QFWMXJ7VlFvOWy9,241,14/04/2000,25/12/2008,FALSE,FALSE,,459297
186,gheNEABdbDyascv,252,13/10/2000,08/12/2015,TRUE,TRUE,,448264
187,CjDFynWTo0lcHgE,226,27/09/2003,28/12/2004,FALSE,FALSE,,150527
188,JxoBLGVQbCa7XnZ,134,20/12/2000,24/01/2013,TRUE,TRUE,,702042
189,kfbDYczlGo0rSdu,78,25/10/2003,29/11/2005,TRUE,TRUE,,133269
190,QgISlKeqtkl3MCk,179,06/08/2002,17/09/2008,FALSE,FALSE,,708937
191,KSyUdMMGUH5qTed,108,23/08/2002,16/07/2016,TRUE,TRUE,,894241
192,bGTw9c6QXa1pWQY,117,05/07/2001,26/09/2013,FALSE,FALSE,,985457
193,sQrshKo4QCF3TUp,294,04/09/2000,27/11/2016,TRUE,TRUE,,242547
194,jHsPJYUxjQLPi0P,64,28/06/2001,14/02/2007,TRUE,TRUE,,985809
195,eHs4gD8M78D6pHn,231,19/09/2000,13/04/2004,TRUE,TRUE,,119645
196,4jEMQFkdjpQl2DN,66,29/07/2000,14/04/2012,FALSE,FALSE,,584117
197,Xtdw6mC3gld39q3,141,24/12/2003,03/02/2013,TRUE,TRUE,,835167
198,pQNmHyleq2WGqnC,68,22/12/2000,01/10/2009,FALSE,FALSE,,261353
199,yAgNWKClgQWzRYw,263,07/10/2003,12/02/2004,FALSE,FALSE,,282211
200,b0OH6lVP3TxEQUs,92,06/05/2000,18/02/2013,TRUE,TRUE,,985564
201,3uGaWBjGE4Tyejo,5,07/04/2003,20/12/2010,FALSE,FALSE,,730117
202,1lEutB2jQC1PzgR,70,13/10/2000,19/08/2017,TRUE,TRUE,,965781
203,zC2pDuvAMfaeWU2,129,26/02/2000,21/01/2016,TRUE,TRUE,,611562
204,z6jqt0AWF49A4MR,26,01/01/2000,28/09/2008,TRUE,TRUE,,418051
205,QxD43FJD4OyMUdp,122,13/12/2000,22/06/2014,TRUE,TRUE,,86537
206,hH17AMFCrdC7cMy,248,07/03/2002,16/02/2011,TRUE,TRUE,,378155
207,mVani5wxLV7SG4B,216,10/10/2003,21/07/2015,TRUE,TRUE,,19838
208,dVCwzn8gfY1oZJh,77,03/04/2001,26/06/2011,TRUE,TRUE,,799100
209,sQJsA6RyiFkuBVs,294,12/03/2001,12/07/2016,TRUE,TRUE,,566741
210,RZNuhnQFBHXzyec,173,18/04/2003,02/07/2009,TRUE,TRUE,,520000
211,vOjwq7wqVshEDBb,95,20/09/2002,26/09/2016,TRUE,TRUE,,355538
212,N4af1JeE2wZrTUK,178,08/10/2002,26/05/2006,FALSE,FALSE,,305760
213,0IqxtxHfLcDWLdj,11,08/08/2001,15/02/2004,FALSE,FALSE,,701877
214,9eVIFbEx1BAyRJ8,88,27/01/2002,03/07/2008,FALSE,FALSE,,503239
215,flkjBfemCtSvWGB,291,28/06/2001,22/05/2016,FALSE,FALSE,,921813
216,aNw6fBfJQk0eOzg,157,15/02/2002,22/12/2013,FALSE,FALSE,,167526
217,qohmpwjUzlRrpgr,236,13/03/2003,24/07/2006,FALSE,FALSE,,687023
218,AdmjNlL6yzX8gkx,81,26/03/2002,24/08/2008,TRUE,TRUE,,448878
219,4sfooWKljoT7vmA,33,13/05/2002,08/01/2005,FALSE,FALSE,,107970
220,U6PrNdv4pT2pRJd,66,22/06/2001,01/03/2012,FALSE,FALSE,,398929
