ID,result,revision_date,branch,author
1,q6zjPTFgg0yq001L1HCeB87XcpSrCOgoPRDuCRygFIMvjAttduL4csLr9cGjBXeRTKbixHIjSfY3vLyc6iOSDlMgGVvkLOfro5cYiK6Wmll6UR5yonncJLOr75cbViYEAqP0sZ4vm1pb,2011-05-02,3852,3899
2,Z75hlDhcrubnseAEMh6nBEFPt10RgwrstnBYm1c7IxJ87QDH1lOcTiwU1qytMP54Cs3EclbVE9eO5GRcxsa4hOYL0qg6Dsu21P5PW9oPJ3YUDiZvYV6dzBWyUsNwFfRVOlWpLCFyEKvo,2007-06-17,209,8195
3,RvhrwQD02H4ov2KolCFbMtjWPHZoPs7Pk5eT7jj8ifxDHbCMAGCx9qGhLLco0YkJKpD0X0qBdG2q6gOxENoJqKP4y7HvH4HJ4o3bYMyJZAU3xZlo7ojnubdAaJBZs44i8svSnwZ2Yetp,2016-08-07,978,9193
4,WcycUdZcK3BPKYaeGv4EoTBKPrPPsxKEDnDPGbOfTSHuvKr9EOjEbBuDboNnOKuXs7LhVKYogZvVLQZF9QKdNFmB2AybOlQIitBx8Ko3z5hCPZ1KPHn8ARKnVJpVW7Z5InxcPlGzmQnR,2017-03-16,8151,6677
5,InMG7SIQiYcyfSh2fm4lmY5nAyWtn2FvXMMtuT8zfg31JSTTtuw5oL0urjFI6YmqSqbTGyIMoFFFfEdsfDA3GKGMVcBLNz2G4Nid1AM4mjRjFuOmFXn3YtkIjP7ox69zM8LRfA1e0GQg,2008-03-11,3195,6698
6,NYF0L9sKna3mChHpkcXGj7GFgICScDPCIXbY0JnNQAoFGPcT8k5aJABPRATC6asjK1dpFsybyJ0iTB8RqtT1Iy2IWLG0zkRzSE4PvxNPvelAKc6QBCWNG0bV8VS4m8mN2AQPGsf3fDFn,2013-05-01,3444,7318
7,P0ywODsbmjRZeTnx2XHJMrKShcrDuxIFXYovJz9yRymgbGYMZSvzuxripfPwWpryaLBFo2nCYT2YEn1aEfncBTVkrGFokNclGxGQEShhptab5SdCoys0BPwH0bYiw9cL0QRRhkVv8GxS,2008-08-24,4361,5326
8,nD9velk1A8an49vpROkoBMfDc725ceO6w94sAqqPqaQiKs09UHAnSAXbi5ShsoZgtd15ECpliV8l573uG3lUdlnwmdKEXIgCAuyq154RbZF7BvfkCibyCECI0FSk1kNZz6kLIM3L8T2D,2011-08-31,6588,5611
9,8jCzrr95rp0vmUZ1MqHFLTczoP0tM8mKUcmSiYrH7pecWHjo3B1ziopoHNKc1PtsDqbJsHSx8AIfz9chpLzKHwlpx7KVOPQr5vZqqZ6vtE1igJzIumwpZilQEvWu77jtuakDjw1PPEbD,2014-03-09,7766,7696
10,HBllckRWKIl5DMyvfIyFjwi7vgaVHiVBlsm5W7QJIN2bK6MDQphwPDEVcn05J6PmwkTVj2Zh1o6V3HxzUXFbAjwinRdsGU9M7Qojm1dXQ94kGsbV0Blw0xlNyvrSZqbhouXncNMd4rLA,2008-05-09,9867,4028
11,zH2FtNVKobv1JL8jiX6WUx3myH2JllinTwcRyVxaZN9AcUTssmbRPFjBOPQlVMiC3IhWtruNjf7Hy2KexJa8JQYOMaCiFMEMo6GTw69B2OrtHcNWFwxMvj2muTKSoLHXauc1v0r0KZG5,2013-05-31,7121,9814
12,NqdSY2bFDejdwqWqGUSX9VkOE6CWd7DFMZF8sy9iTXyRROEdCayOWtu1GPOb0ElFaeRXlY8RVtEmgS702iUCJyscoO1ckhsOvs0w7q2ocg3moIUxSXiRuj6mvysXgfrxB00ybK3Mqqkm,2015-01-12,1834,1490
13,3EKM9adMwOAI8fH6zGlyRgWHeWlE8Urq9LdcUexlWoCMJuNLinwye9PXsCsnyZNbhUJwBplVS9cndJ8uIafUh2LA6GuSvKw6akpzlaJ3Bbfegm3iE8eY324pJI054TjHNgM3eIIrQmTF,2013-01-15,3654,113
14,NLNxqXChpApckO8r1XRAZ9E5zwHRjzScpgrtGwb0dpOecpHColN8Zc4NGR73Pv7zrNxEgOlF6bhuvkcKpFm8lTDMlemyzhkrrYwP2DgZ9IC84KcgzxOKI9OYKlcBmxPY0zDXyNRljN9d,2006-08-27,7356,129
15,CG9CTajsKXFRkexL2oHFHFrlfmk59uHFTB9fyNFaQUMaHABFaxkm6MT7YXhqzosZP97ieRXpirzw2QeelffMKfJHrCHbqZklmxLIDclIa5DOXhFH3CEUJgPu000cJ68JHNJEFWaI4WvP,2010-08-27,3019,9268
16,79inUPcGibRMmI8e64HJXABgl6awu9S6GqeKYVy1uDgoEOgvXRThwkw68BBYzpViIUG5oyGkFPYUeXcXZpZdquJg3iMWTaCFs7gtIkHjLschLcckio9JQ22XLjBFmtRoNTlg1sPyi0R8,2006-07-05,1437,7300
17,Flxpb2z0FIiiiB6caxU105t0YKlZk3FiOk9B5mNUevbsJqPg3zhfSekK17QQRZPLDAU8B4gyj9WFeBrs5EfvWjQuAzK7W6DFgPpJWRf8St5SHfq0PhVM3ezdtk7Luicn6RiOViWnjhcn,2016-03-25,9094,1840
18,JUsyl0MBaMZvUTOtQSV06berLrnWCMzw7bCa0nBFEgxJJkTPSsWVmwjrzAm3N09OWmy2Rx2nQPvZoVilYXDTzeJL2Vl0BI2Ohjwgwb8eztEWAKDdbBezwqY2dmA5MClHXh1EiCz7ZieG,2017-05-08,1369,5179
19,SHYAnCb1K4DJaCSwH68dS84ZLhaOLRcpcSnFoldVFA3o9pgWQr9cyqZTM8yGlMp3bXqHZMIfcnYREQagAD8eRA0w3T3pxXt2VANl8Y7Die9LSHP6hRFhOKlbg4OFTdsF4f6DDzhmG46x,2006-11-12,8473,1873
20,E6HfSLoLZvFEK2tEw4RxLL3sudbTNxb1acBWVMxs0uoRudbOK1BFXqk2DZuytU7lUNnr1XsjHi6ahl8RBNIVvVdu2IT6b88fxC6gztWxIc8zuJUbadwgMlz9u2zsDwHIkanfpcbS0UNT,2012-07-21,7331,9442
21,y1g8LcTLM7v63otWUzPTgzw7Bep1YgmG2G4MPJ6HGbSrrfYMk09gZqM8Fi6rwcxqUoExuhGK3HNEgEQgFdQhgFrM45HrMPVonmXCblcDtynRcHcARalSLPJO712yaY7owib4rOFeBNxs,2012-10-16,8505,2438
22,dGawnCdXdIFjsnnV09f4qiTDVGR8cbwhHGVT8LAtFDaiIfwYjc1c4zF5xWagve5CWicmRUWp8vynHu4zU2Y9jTmSAafmve8lHYLkDJGPGMdIBcyCckL2G6cD5Jm1yt3exNgsjUwKwI2X,2009-03-17,1385,4386
23,mcKKSFeK6Ip3hObWS9Vx6FdIyAG7DENb2EPVjtMrsVvbo2nhrfF0Idlg9CWR9hH24NAd9FwjxoFlUCd5XiPh9XTZctWhW4rKO3gb2JiltgCdYAM7ib3bRj3g4lAQtPM264XbfCCO9oyc,2005-06-15,5303,2063
24,gY85AQ3o9AgRJS2dTJgdnubgYpbnuaLEjitUQQ2qBsbffvFrwUJLShyv7chUzP3jycrljhNDR0c4T5Bmku1ZRAvBt7Xyth1vy1rDEeHOHG3cF4cBa5uFYdSxqp1mJYTu9qGbO8iGmmSL,2018-09-01,2005,3369
25,eWXywvWVj3XYmfFswJdYxAwcWocwLGqWtCHxBf7NUv1VkKeHhjY70hBej5bITkJdMAojXRrQMPECIb1MKVPmrtgMBnOGEy4tlYIkf4tP2Ivkd8VHDP87VhvddchuDlMXVUbuTRqPm9uj,2015-08-25,245,5757
26,RGDy06YEnoHDX8LQ5YPIhlywjsVVxLghtdc7iXgZ6WGoJm2nxdnjqjgqSQPHkCRbIkT3fOsh10MKfJm60shTi60K7woRIZy3FogjT8HjuFs0WWLJoTR2f73MtJ6tjbZbBTE0mCn1k8jc,2016-06-29,2068,2998
