ID,issue_description,inventory_item,inventory_revision
1,DrWLW9B0WxMlYzgO9SOIqYKZ1b5RkdaIpV64muwjZ4MoBknY9X7nwQroh6U5EuQ3XD5C2mmPgptvMfYQxgRMfxWZoSWpZ0epnTR7plgXusGGh5cCiDHhcEXkrgXkP7zpKEH2OalLA4bxqP1tzUHWs7Mj5rQIO6Ix2a5dxjxHc6gimk3cpou5zd7N1i7hKd7Ewn4QTY6Q,5300,81
2,3wao7VxydjLM8ZdslPmQ688cv8qmIQsdYzjKxMlmtWAX2jpewlwroQD5y828pKpM1syJzT5Zo9gj8kjMTL0gdByHvoVyTm7iqxgKugodqXDoud6OYqpdUJt03qYL7GFBC73KDZbwgWzG8KXRrHZn6dOhEpQEIcgkRBmwkwK9O268Tm2tTGezqcEjtWGYIXoDzPy6ilq5,9605,4227
3,ZDgPNbxhvB8r3z6CCOpw10O3JEy5Kraj1QDACeIokkmnFIV9AficPLjiznGJn1WDkYznw5AiFALQOkyBsy5pJ8TqreLZX9BsOjCqSsMEe9WOASUOzFby6r3mEJ6RulKG9cCoiHs9m1KJlFqYK6jSiMwgpZlJw4T3yQPhQpqrWbMFgtA9dhHyB2ixpf8IgjNrhQVVzIHe,2608,8763
4,6G9rA5ZlpPxf26rc1vrhLwOfiPYoJUZnhI6bx8eCt4383BYYnXQWxsqJ2eJuhubVzK7t9Qo3QoyQ2Qlg1ABwDCzzcwjSzuf9ciItDpYXsXFI4aQl2m3htpSwUIRMqWEgIzyUH2dMlnDp7q5Cg7aM08PxQVZ5XLrWTjAEm5dAJr5FmmznMPqt51pKjAEwdhyZ6qWXq0ak,4790,4223
5,DJCKKnfvsIf7bb3zfl1rgl2gJ5Qb6WzFPfygHZzbQrzq48P4e0Vytw3bQfAOXDzWSZs5nWsGvZazvMmLqV7FAAWdmWPlYkDM2dXePTQHIODTVDpE3ziBGtVSCPTQHGrKWN6SyH5XFz6v7CHiqKsjCCGJHEbAA9ACh37IGXPv3L6QwjVAIuk6XIHUHxKtq5WFz4OEF9bT,9187,9503
6,p1FzWitb2PZDoYvnASMfF8y0b2UR4ITQBacQORbmAODHpwP0Sc8IHZ1rCOYeNcgt6JBN6fYt1jf05rLpme8cKKImjvN927ZirTKguC4xDPRi3AwVDt1sdEjwAZoLRZ03J7Jlgo4kkKY43kti815JFrEntYfVYsfoYXY51KyZyRHSpo3ZpFMZdryc2g2IIjM1ougfMxry,528,5226
7,Uyjw7FfGpSgGLqj5CVSpQPEQn5HXN2XXW6X93GiwnC43Vii06QuWgXPFtSIC7H2w5ItOSjC5wfCOUL5EWRa6IB19rSPk8gzfJI8MzUhWOyjAUBuiXDppq6o4QuhATb7QpgFMNsPCuDsTb1oqhrM41KyNdD5FxgDx1TVy5iUoym4nOVcZF0cmOCZfs2tJxKPNA5cIf0u9,3676,5472
8,GOPL8Ilf96Daiy3zFDzL1nXrmT2T3PGdPq6KQg3khRLSKkWnOquqKLqc0ijpPRltzkL12tjjKOnkcEgC6OFNfaTEAdUr7NVQpbcjZevfGLf5iG9vBhtAMYOZRH1YZ1m73W4Am7nbcjHT4Xf4eiqaeUDRNDSRnXGOjiCLL8JD4RhmQ4e3l630KLdiTnxioVxFc2uWVUtf,3959,6284
9,fMxbBSiZqqdPDXFd2iKkYiecJXKIiQNYciqRv2lfAPoGlNzXR1cKUxN6sURnIa0ZdFxfrys96pkJ4X16iw1qyCDoUtibk8XjYOnfZTqcJcOpMECUdUFViKlaBIL7PRY8RBuptVhOGYhVyYcPqO7Q2BBOnNeQIsN2DQXLUXlHx1PKnPlmq6RBTIFQ9fCg0QGYKpSiBQ4T,6285,8395
10,dBw0lXl2jLaMi5KHLyUERgu0987DlaB8YdpDdI4p58q477GXX4EF8ii6Q51mZiQJJcyFQHnC3pJS003B1kprV59z4swhRRQWrhueJAGQQBMSZQGaCzvy2jxOc8LhUGulZwkSGY21dZaTtqaomWfcgbdItgCKzj5JQk3mpxUn73UdIdevig58lSE7TcjjWrB4dRDJxy9y,390,8702
11,fnGA9PCRmSn7i8f5TMOuRP2a91aU8thH5txb1SdThFFsQgsEo1fwkRkPuqAHzrS2vgBzKDEAs4NMKJJdJVpGOvgnIirKSWezwM7te24lweDpEYElgg7dBMoAAYrmW4rWaXZ8LZ9RbETtr0jtdFnvYAxki7tGLSP2xqPr9GZHhqC724SJz7IQQ68ZjzaNp2FJza6Al1uX,6737,5186
12,Or80rnpkRNJ8m1szHJqLbol3Hb7Ri7MvkurQbtIwiFl191yFSvulrdEjGEtPpXBTBXX1JbYXB3nWCt3Qn29xMlEHqIJWA2GLDR0md660XWkx0sgXLdlxXOHZTQLARBXIwbSu2Rwq6JazBQQ7lwLgRTyyKbSNv5iV9cBZZve4q51NyRYDANZf000cnekb8i5AlE0jO1iz,2917,2763
13,zVck92DONhgDfIliv4LD5I90mtbzyIojNjAfACerYtVYeijr7qFooOVrWm8PbNaE26z6HGisaepLwlWDKt1IDA58NSJYEOQKTRfhsmk1HXNJjK5uQ4FrWSB1B1ty7KoLNe2fFyViJ9ApxvYCXYHKJixAPog03v47tB5ESZpbihiWSVEPcqbiCdCpr1PbReoXFC6vzTu7,7326,6816
14,lm9bs4jRXNUV5P9QXbKNJE2LRPYTZJ5dzW2aqQIU1AGaDtHrwj5TxfghtyJcfQ1OR1gjXijHSzWJ7bIiIrg0NmpTzUr1GqzkJ2JLMiUN9xA7JXkRqlTytBApLNtC1sBmAv9ES6VkWT0ZlsJcuZLfWA1I1eA8zRWRwY7YXf9tPtbaKlDdDQRbgfQA41Ny6XvF7jnNuvEP,4223,4512
15,Qmia7Qag5iA4vQI7egRLx28Wdl8zsRLBBEPnbd47XZbNECxWFxRi8OoYoL7VRkxnW82qBefAlTyYavSaxlu5AnDwa19Qfipwly0GKHVkRQ6oaQ733hiq02nt4FQJfPfDoCwm4LQqQJntqZWJ3FW8A95tKHLE0LFCv3AYdU9rR1ZqO3CftGPZ2gDoGCbwALzEEl8xZ7pi,1088,6693
16,rIkPfREqVt5pJO0VSb3MqFBUlm4PGvbqSNz4E0hJrU0GIYcu6DpOp48lHPn2XyjjSPX6Y5Rb3teWP5LNKKSCFMBYOOxzMpw2uQx3BfVBwOV6ZmVLDasNghdFO8sJIbOO6ll8HSLpyRP11F8m3lvw6jWMxspCxM2UAH9yAWDvPDYORmOIAFQgqcRXOZLZmI1mZ51tFKmg,5430,104
17,g3KI4LdgCr5VohzljlLoIGLwzWueCzdu9p5XMGeA5FGKqDQT4elAU31arYTha9dNNLW9mbZcGKtDAAGvGbkiOcZGxepyx6k5l27frRqcFI4JJyarRhb8Z59uvQLHwkpKkxbHDlEzuIdFiP69E8gPflgq3MtbFiqecuiWXTnqcmORb3LfTMDxEZp9RuN01ntLc9myqjlu,3478,8379
18,w2WPPABNH3f3aCEjFmGwyz2CzcQWytkTbOnwmBfMzngzqjijtHe9oiB7AUZwtoYXTLbMZS6DG37KTDVQ3rnrPko2NpvSlsdLPIgeHWJbLa2vl0o78J3CBrHshi8ugobXZv5Kg0IghLgyr3QXByTczbKiAx7iYZ4g9fV04daHBWfzKTAnSlsrU9i8lXJt3kIHR9zMiach,3976,1950
19,bc5UXrwUQwqMM97WOgUrOaOXhLdxF1ILTIiFCQAb6iTWbEwzPMM5Mr7AOixMO8PYnf3Eb1T7g3upH26cYni2pN8lKi0edyN7T5s5LsYX2OZT6R2WmUxkaWtagR33BzdspxVMJARpOKAaxoo2pe1JAng7LSZ3yfWDvqoJ6qMmDIVQVSm1nANg7UsCQXA1lX0tx6pGAe68,2952,2409
20,F2RQl3phPyR0Fa8l3iqUBpRmdZnf1IDOOsO0uAwHLDICb61OIYlYS7NakpwMQKpHuCmWLI12vjJ7hOKgiYXdho6QfxPENj0BYASYUeDAhtmtyP3WfQo2xMkFGV1Y2woMsHjg6vMDUW6xCMcP43j758OLaMR8npHuEaBqqXatEkhaQwD33le9NrRt3XFtdNapPLtlLwjg,4692,8377
21,2Uby5oJYFCKIgWJRxSRqP1K1LECbsGB7gXy6SFcbkFHYeGpXc39QOwkBKjm0mrp8ANlIhN9rz0GJtwWEZo9zHustxxvscmz3aJXRfgzO4RbYqaSYNia7r00Pe1VubQPNBMskYEj3zv50TUDWeXf3L2LkSIwnKFxnBNWdssAI9hH64A5Jy9QDvVCJAIRQR5su7RyG7jow,3785,3630
